0.805694	-0.592332
0.818311	-0.574776
0.481746	-0.876311
0.469007	-0.883195
0.443803	-0.896124
0.405775	-0.913973
0.372526	-0.928022
0.172529	-0.985004
0.00390521	-0.999992
-0.0373549	-0.999302
-0.132726	-0.991153
-0.500468	-0.865755
-0.556762	-0.830672
-0.656377	-0.754433
-0.65912	-0.752038
-0.674648	-0.738139
-0.680449	-0.732796
-0.964167	-0.265295
-0.99464	-0.103397
-0.992181	0.124805
-0.985476	0.169817
-0.9791	0.203379
-0.976971	0.213373
-0.903192	0.429237
-0.6175	0.786571
-0.356693	0.934222
-0.315199	0.949025
-0.303551	0.952815
-0.0264456	0.99965
0.221608	0.975136
0.359106	0.933297
0.823509	0.567303
0.872804	0.488072
0.979046	-0.20364
