   14.9594    5.2883   14.5263    5.4020         0         0         0         0
   15.0369    5.2237   15.0204    5.5592    0.0775    0.0645    0.4941    0.1571
   15.1884    5.3374   15.0962    5.4665    0.1580    0.1197    0.2952    0.1297
   15.3243    5.3565   15.0604    5.4175    0.1759    0.0867    0.2117    0.1040
   15.1896    5.3195   14.8956    5.3363    0.1916    0.0767    0.2325    0.1143
   15.1771    5.2518   14.9579    5.4173    0.1570    0.0922    0.1998    0.1236
   15.1653    5.3071   15.0008    5.4258    0.1332    0.0956    0.1742    0.1048
   15.2342    5.3646   15.0535    5.4119    0.1343    0.1008    0.1598    0.0918
   15.2787    5.4280   15.1744    5.4028    0.1266    0.1092    0.1857    0.0815
   15.2341    5.4494   15.1368    5.4614    0.1216    0.1000    0.1703    0.0935
   15.3409    5.4506   15.0986    5.4182    0.1533    0.0904    0.1587    0.0950
   15.2168    5.4287   15.0474    5.3933    0.1871    0.0854    0.1536    0.0902
   15.2224    5.4230   14.9581    5.3888    0.1722    0.0788    0.1672    0.0831
   15.1571    5.4341   15.0229    5.3775    0.1723    0.0738    0.1678    0.0778
   15.1044    5.4359   15.0056    5.3691    0.1688    0.0687    0.1572    0.0729
   15.0670    5.4533   15.0372    5.3636    0.1623    0.0666    0.1504    0.0684
   15.0547    5.4383   15.0005    5.3580    0.1529    0.0643    0.1460    0.0645
   15.0616    5.4709   14.9792    5.3620    0.1443    0.0688    0.1393    0.0609
   15.0177    5.4668   14.9464    5.3786    0.1434    0.0652    0.1358    0.0600
   15.0584    5.4684   14.9441    5.3914    0.1420    0.0619    0.1288    0.0583
   15.0534    5.4595   14.9293    5.4062    0.1352    0.0595    0.1234    0.0574
   15.0440    5.4863   14.8879    5.4180    0.1292    0.0628    0.1247    0.0560
   15.0269    5.4830   14.9085    5.4220    0.1246    0.0601    0.1209    0.0537
   15.0563    5.4811   14.9128    5.4442    0.1229    0.0575    0.1159    0.0560
   15.0685    5.4483   14.9611    5.4330    0.1185    0.0642    0.1212    0.0548
   15.0728    5.4790   14.9896    5.4362    0.1139    0.0689    0.1199    0.0528
   15.0440    5.4476   15.0074    5.4437    0.1133    0.0734    0.1167    0.0514
   15.0396    5.4358   15.0003    5.4453    0.1093    0.0717    0.1127    0.0495
   15.0237    5.4315   14.9908    5.4318    0.1067    0.0693    0.1092    0.0496
   14.9674    5.4265   14.9975    5.4310    0.1174    0.0671    0.1057    0.0480
   15.0022    5.4410   14.9987    5.4339    0.1188    0.0665    0.1022    0.0465
   14.9602    5.4341   14.9781    5.4226    0.1224    0.0648    0.1011    0.0464
   14.9286    5.4188   14.9834    5.4229    0.1228    0.0646    0.0981    0.0450
   14.9242    5.4074   14.9924    5.4212    0.1192    0.0637    0.0956    0.0437
   14.9341    5.4174   14.9839    5.4129    0.1162    0.0627    0.0932    0.0432
   14.9378    5.4077   14.9955    5.4172    0.1130    0.0617    0.0913    0.0422
   14.9081    5.3922   15.0041    5.4159    0.1138    0.0619    0.0892    0.0411
   14.9187    5.3984   15.0291    5.4177    0.1113    0.0606    0.0904    0.0400
   14.9215    5.4009   15.0277    5.4230    0.1084    0.0591    0.0880    0.0393
   14.9261    5.3987   14.9984    5.4272    0.1058    0.0576    0.0906    0.0386
   14.9036    5.3895   15.0062    5.4240    0.1056    0.0569    0.0887    0.0378
   14.8931    5.3935   15.0198    5.4238    0.1036    0.0557    0.0877    0.0368
   14.8907    5.4034   15.0116    5.4242    0.1012    0.0553    0.0860    0.0360
   14.9085    5.4023   15.0183    5.4221    0.1004    0.0540    0.0843    0.0352
   14.9295    5.3983   14.9867    5.4301    0.1004    0.0530    0.0882    0.0354
   14.9208    5.4050   14.9877    5.4317    0.0986    0.0522    0.0863    0.0346
   14.9036    5.4009   14.9963    5.4298    0.0980    0.0513    0.0848    0.0339
   14.9127    5.3939   15.0034    5.4298    0.0964    0.0507    0.0834    0.0332
   14.8994    5.4027   15.0064    5.4255    0.0953    0.0504    0.0817    0.0328
   14.9170    5.4061   14.9913    5.4469    0.0950    0.0495    0.0815    0.0387
   14.9261    5.4086   14.9934    5.4494    0.0936    0.0486    0.0799    0.0380
   14.9193    5.4106   14.9735    5.4427    0.0920    0.0477    0.0808    0.0378
   14.9128    5.4158   14.9734    5.4336    0.0905    0.0471    0.0793    0.0382
   14.9118    5.4181   14.9533    5.4305    0.0888    0.0463    0.0804    0.0376
   14.9083    5.4175   14.9592    5.4350    0.0872    0.0454    0.0791    0.0372
   14.8953    5.4232   14.9480    5.4303    0.0866    0.0450    0.0785    0.0368
   14.8885    5.4229   14.9385    5.4387    0.0854    0.0442    0.0777    0.0372
   14.9114    5.4180   14.9457    5.4349    0.0870    0.0437    0.0766    0.0367
   14.9316    5.4157   14.9573    5.4318    0.0879    0.0430    0.0762    0.0362
   14.9324    5.4162   14.9622    5.4246    0.0864    0.0423    0.0751    0.0363
   14.9285    5.4145   14.9654    5.4404    0.0850    0.0416    0.0739    0.0390
   14.9426    5.4182   14.9562    5.4365    0.0848    0.0411    0.0733    0.0386
   14.9538    5.4318   14.9587    5.4346    0.0842    0.0427    0.0722    0.0380
   14.9587    5.4313   14.9682    5.4330    0.0831    0.0420    0.0717    0.0375
   14.9587    5.4321   14.9611    5.4380    0.0818    0.0413    0.0709    0.0372
   14.9530    5.4273   14.9605    5.4408    0.0807    0.0410    0.0698    0.0368
   14.9606    5.4211   14.9677    5.4432    0.0799    0.0408    0.0692    0.0363
   14.9738    5.4298   14.9626    5.4515    0.0798    0.0412    0.0683    0.0367
   14.9802    5.4313   14.9765    5.4483    0.0789    0.0406    0.0687    0.0363
   14.9691    5.4303   14.9751    5.4395    0.0785    0.0400    0.0678    0.0368
   14.9609    5.4276   14.9766    5.4400    0.0779    0.0396    0.0668    0.0363
   14.9520    5.4362   14.9698    5.4332    0.0773    0.0400    0.0662    0.0365
   14.9452    5.4357   14.9679    5.4312    0.0765    0.0394    0.0653    0.0360
   14.9533    5.4401   14.9745    5.4319    0.0759    0.0391    0.0648    0.0355
   14.9474    5.4411   14.9779    5.4269    0.0751    0.0386    0.0640    0.0354
   14.9578    5.4434   14.9782    5.4237    0.0748    0.0382    0.0632    0.0351
   14.9716    5.4443   14.9677    5.4265    0.0752    0.0377    0.0632    0.0347
   14.9644    5.4421   14.9542    5.4286    0.0745    0.0373    0.0638    0.0343
   14.9691    5.4415   14.9519    5.4288    0.0737    0.0368    0.0631    0.0339
   14.9530    5.4371   14.9658    5.4298    0.0746    0.0366    0.0638    0.0335
   14.9523    5.4401   14.9783    5.4289    0.0737    0.0363    0.0642    0.0331
   14.9625    5.4413   14.9827    5.4290    0.0735    0.0358    0.0636    0.0327
   14.9617    5.4436   14.9814    5.4287    0.0726    0.0355    0.0628    0.0323
   14.9648    5.4458   14.9726    5.4293    0.0718    0.0351    0.0627    0.0319
   14.9512    5.4434   14.9585    5.4323    0.0722    0.0348    0.0635    0.0317
   14.9483    5.4467   14.9676    5.4334    0.0714    0.0346    0.0635    0.0313
   14.9430    5.4469   14.9810    5.4347    0.0708    0.0342    0.0641    0.0310
   14.9458    5.4480   14.9846    5.4378    0.0701    0.0338    0.0635    0.0308
   14.9624    5.4571   14.9917    5.4315    0.0712    0.0346    0.0632    0.0311
   14.9622    5.4605   14.9970    5.4288    0.0704    0.0344    0.0627    0.0309
   14.9632    5.4632   14.9924    5.4382    0.0696    0.0341    0.0622    0.0319
   14.9695    5.4622   14.9993    5.4371    0.0692    0.0338    0.0619    0.0316
   14.9643    5.4591   15.0144    5.4381    0.0686    0.0335    0.0631    0.0313
