0 9.36731  10.8787
1 7.84949  9.92631
2 7.45159  9.31866
3 7.45159  9.1571
4 6.3045  8.72499
5 6.48671  8.21615
6 5.92413  7.75062
7 5.95031  7.39704
8 5.95031  7.08283
9 5.75808  6.64922
10 5.75808  6.70246
11 5.75808  6.43721
12 5.74619  6.213
13 5.75808  5.97497
14 5.67157  5.97876
15 5.67157  5.8185
16 5.67157  5.81265
17 5.67157  5.83534
18 5.55254  5.78638
19 5.55254  5.66677
20 5.50816  5.61851
21 5.50816  5.71005
22 5.42236  5.62666
23 5.39049  5.51609
24 5.15421  5.43314
25 5.12518  5.38441
26 5.02871  5.27811
27 5.02871  5.25592
28 5.02871  5.20624
29 4.95934  5.14129
30 4.84129  5.06557
31 4.59137  5.10911
32 4.59137  5.17034
33 4.59137  4.77164
34 4.59137  4.76562
35 4.59137  4.65402
36 4.39641  4.59319
37 4.31226  4.55339
38 4.24456  4.45162
39 4.08809  4.38746
40 4.08809  4.33385
41 4.08809  4.33643
42 4.02211  4.2222
43 4.02039  4.10552
44 4.02039  4.09699
45 4.02039  4.10118
46 4.02039  4.04932
47 3.97592  4.0201
48 3.97592  4.01878
49 3.97592  4.02878
50 3.75543  4.00175
51 3.71096  3.98046
52 3.71096  3.98185
53 3.71096  3.87071
54 3.71096  3.91681
55 3.71096  3.9031
56 3.56809  3.78834
57 3.56809  3.77069
58 3.56809  3.72999
59 3.56809  3.69699
60 3.41967  3.63475
61 3.30974  3.58899
62 3.2305  3.47545
63 3.2305  3.30256
64 3.2305  3.24547
65 3.2305  3.2305
66 3.2305  3.2305
67 3.2305  3.2305
68 3.2305  3.2305
69 3.2305  3.2305
70 3.2305  3.2305
71 3.2305  3.2305
72 3.2305  3.2305
73 3.2305  3.2305
74 3.2305  3.2305
75 3.2305  3.2305
76 3.2305  3.2305
77 3.2305  3.2305
78 3.2305  3.2305
79 3.2305  3.2305
80 3.2305  3.23542
81 3.19701  3.22983
82 3.19701  3.22841
83 3.19701  3.23672
84 3.19701  3.21836
85 3.19701  3.20753
86 3.19701  3.19918
87 3.19701  3.19781
88 3.19701  3.19701
89 3.19701  3.19701
90 3.19701  3.19701
91 3.19701  3.19701
92 3.19701  3.19701
93 3.19701  3.19701
94 3.19701  3.19701
95 3.19701  3.19701
96 3.19701  3.19701
97 3.1609  3.19629
98 3.1609  3.19065
99 3.1609  3.17765
100 2.76536  3.16744
101 3.0454  3.16544
102 2.76536  3.13938
103 2.76536  3.05428
104 2.76536  3.03059
105 2.76536  3.11098
106 2.76536  3.01046
107 2.76536  2.83728
108 2.76536  2.85622
109 2.76536  2.99766
110 2.75942  2.91731
111 2.75942  2.77044
112 2.51822  2.75923
113 2.51822  2.73039
114 2.51822  2.65245
115 2.51822  2.55313
116 2.51822  2.51822
117 2.47474  2.51735
118 2.47474  2.50779
119 2.47474  2.49126
120 2.47474  2.47474
121 2.47474  2.47474
122 2.47474  2.47474
123 2.47474  2.47474
124 2.47474  2.47474
125 2.47474  2.47474
126 2.47474  2.47474
127 2.47474  2.47474
128 2.47474  2.47474
129 2.47474  2.47474
130 2.47474  2.47474
131 2.47474  2.47474
132 2.47474  2.47474
133 2.47474  2.47474
134 2.47474  2.47474
135 2.47474  2.47474
136 2.47474  2.47474
137 2.46256  2.47448
138 2.46256  2.47297
139 2.46256  2.58287
140 2.46207  2.55692
141 2.46207  2.59053
142 2.46207  2.56952
143 2.41857  2.48872
144 2.41857  2.45946
145 2.41857  2.4525
146 2.35944  2.43389
147 2.35944  2.42459
148 2.31594  2.41121
149 2.31594  2.39635
150 2.27153  2.36813
151 2.27153  2.36981
152 2.27153  2.36706
153 2.27153  2.3301
154 2.27153  2.2998
155 2.27153  2.28626
156 2.27153  2.27826
157 2.27153  2.2829
158 2.22973  2.27069
159 2.22973  2.26902
160 2.21512  2.25953
161 2.21512  2.24102
162 2.21512  2.22647
163 2.21512  2.22155
164 2.21512  2.22326
165 2.21512  2.216
166 2.21512  2.21512
167 2.21512  2.21512
168 2.21512  2.21512
169 2.21512  2.21512
170 2.21512  2.21512
171 2.21512  2.21512
172 2.21512  2.21512
173 2.21512  2.21574
174 2.21512  2.21636
175 2.21512  2.21512
176 2.21286  2.21507
177 2.21286  2.21498
178 2.21286  2.21476
179 2.21286  2.29239
180 2.21286  2.35168
181 2.21286  2.32298
182 2.21286  2.23455
183 2.21286  2.21286
184 2.17166  2.21204
185 2.17166  2.20509
186 2.17166  2.2205
187 2.17166  2.18959
188 2.17166  2.24244
189 2.17166  2.2374
190 2.17166  2.34199
191 2.17166  2.22888
192 2.17166  2.2418
193 2.15382  2.1713
194 2.15382  2.16595
195 2.15382  2.16167
196 2.15382  2.15596
197 2.15382  2.15489
198 2.14807  2.15359
199 2.14807  2.15313
200 2.14807  2.15221
201 2.04003  2.14764
202 2.04003  2.13675
203 2.04003  2.09568
204 2.04003  2.06904
205 2.00467  2.03932
206 2.00467  2.03437
207 1.93369  2.02376
208 1.93369  2.03262
209 1.93369  2.12847
210 1.93369  2.05587
211 1.92457  2.00102
212 1.92457  2.03768
213 1.92457  1.99324
214 1.91852  2.08058
215 1.92361  2.15836
216 1.92361  2.12485
217 1.92361  2.02456
218 1.92361  2.07264
219 1.92361  1.99455
220 1.92361  1.92792
221 1.92361  1.92369
222 1.92361  1.93343
223 1.92361  1.92361
224 1.92361  1.92361
225 1.92361  1.92361
226 1.92361  1.92361
227 1.92361  1.92361
228 1.92361  1.92361
229 1.92361  1.92361
230 1.92361  1.92361
231 1.92361  1.92361
232 1.92361  1.92361
233 1.92361  1.92361
234 1.92361  1.92361
235 1.92361  1.92361
236 1.92361  1.92361
237 1.92361  1.92361
238 1.92361  1.92361
239 1.92361  1.92361
240 1.92361  1.92361
241 1.92361  1.92361
242 1.92361  1.92361
243 1.92361  1.92361
244 1.92361  1.9422
245 1.92361  1.92933
246 1.92361  1.92361
247 1.92361  1.92361
248 1.92361  1.92361
249 1.88436  1.92283
250 1.88436  1.91812
251 1.88436  1.90948
252 1.88436  1.893
253 1.88436  1.88812
254 1.88436  1.91673
255 1.88436  1.96184
256 1.88436  2.0207
257 1.88338  1.94848
258 1.88338  1.88477
259 1.88338  1.88411
260 1.88338  1.88367
261 1.88338  1.88351
262 1.88338  1.88342
263 1.85594  1.88238
264 1.85594  1.87679
265 1.85594  1.87021
266 1.85594  1.86692
267 1.85594  1.86253
268 1.85594  1.85978
269 1.85594  1.86901
270 1.85594  1.86308
271 1.85594  1.85693
272 1.85594  1.86083
273 1.85594  1.85594
274 1.85594  1.85594
275 1.72434  1.85331
276 1.72434  1.83994
277 1.72434  1.81361
278 1.72434  1.77431
279 1.72434  1.75834
280 1.72434  1.74441
281 1.72434  1.73389
282 1.72434  1.72434
283 1.72434  1.72752
284 1.72434  1.72434
285 1.72434  1.72434
286 1.72434  1.72434
287 1.72434  1.72434
