    5.0000   19.1565    0.0709
    5.0000   20.2292    0.0676
    5.0000   20.9775    0.0696
    3.5000   20.9775    0.0696
    3.5000   21.5426    0.0657
    3.5000   23.1715    0.0774
    3.5000   21.8442    0.0909
    3.5000   20.4712    0.0591
    3.5000   21.9889    0.0743
    2.4500   21.9889    0.0743
    2.4500   21.9889    0.0743
    2.4500   19.9145    0.0655
    2.4500   18.4853    0.0535
    2.4500   17.4199    0.0623
    2.4500   17.6045    0.0545
    2.4500   16.2048    0.0577
    2.4500   15.4497    0.0522
    2.4500   15.4497    0.0522
    1.7150   15.5285    0.0509
    1.7150   15.5285    0.0509
    1.7150   15.5285    0.0509
    1.7150   15.3018    0.0616
    1.7150   15.5611    0.0481
    1.7150   14.1075    0.0449
    1.7150   13.5147    0.0532
    1.7150   13.5147    0.0532
    1.7150   13.5147    0.0532
    1.7150   13.5114    0.0530
    1.7150   13.7865    0.0491
    1.7150   14.8561    0.0431
    1.2005   15.4457    0.0493
    1.2005   15.4457    0.0493
    1.2005   16.6402    0.0526
    1.2005   16.6402    0.0526
    1.2005   16.6402    0.0526
    1.2005   16.6402    0.0526
    1.2005   16.0311    0.0438
    1.2005   15.1069    0.0457
    1.2005   13.7281    0.0337
    1.2005   14.6276    0.0406
    1.2005   14.6276    0.0406
    1.2005   14.6276    0.0406
    1.2005   13.4784    0.0356
    1.2005   13.4834    0.0349
    1.2005   12.5710    0.0344
    0.8403   12.7842    0.0368
    0.8403   11.4853    0.0326
    0.8403   10.1373    0.0298
    0.8403    9.5911    0.0264
    0.8403    8.9237    0.0302
    0.8403    9.0078    0.0281
    0.8403    8.6393    0.0275
    0.8403    8.2649    0.0271
    0.8403    8.3651    0.0240
    0.8403    8.0370    0.0265
    0.8403    7.1554    0.0234
    0.8403    6.9768    0.0242
    0.8403    6.9768    0.0242
    0.8403    6.9768    0.0242
    0.8403    6.9556    0.0254
    0.8403    6.9556    0.0254
    0.8403    6.5921    0.0258
    0.8403    6.2143    0.0240
    0.5882    6.6439    0.0269
    0.5882    5.5487    0.0210
    0.5882    5.3415    0.0232
    0.5882    5.5914    0.0242
    0.5882    5.9556    0.0266
    0.5882    5.4058    0.0242
    0.5882    5.4058    0.0242
    0.5882    4.3912    0.0203
    0.5882    4.3893    0.0192
    0.5882    4.0754    0.0231
    0.5882    4.0754    0.0231
    0.5882    3.5395    0.0169
    0.5882    3.6092    0.0199
    0.5882    3.0916    0.0180
    0.5882    3.2731    0.0155
    0.5882    3.0271    0.0130
    0.5882    3.0271    0.0130
    0.5882    2.6485    0.0139
    0.5882    2.1037    0.0112
    0.5882    2.1037    0.0112
    0.5882    2.2762    0.0099
    0.4118    1.6935    0.0089
    0.4118    1.6592    0.0091
    0.4118    1.2382    0.0076
    0.4118    1.2382    0.0076
    0.4118    1.0225    0.0071
    0.4118    1.1431    0.0072
    0.4118    1.1118    0.0080
    0.4118    1.0183    0.0096
    0.4118    1.0662    0.0085
    0.4118    0.9102    0.0087
    0.4118    0.7716    0.0080
    0.4118    0.7716    0.0080
    0.4118    0.8002    0.0079
    0.4118    0.9757    0.0089
    0.4118    0.5514    0.0065
    0.4118    0.5514    0.0065
    0.4118    0.5030    0.0073
    0.4118    0.6300    0.0072
    0.4118    0.4591    0.0058
    0.4118    0.4138    0.0049
    0.4118    0.5177    0.0052
    0.4118    0.3778    0.0055
    0.4118    0.4793    0.0054
    0.4118    0.4920    0.0061
    0.2882    0.3831    0.0040
    0.2882    0.3551    0.0045
    0.2882    0.2836    0.0048
    0.2882    0.3662    0.0060
    0.2882    0.2238    0.0052
    0.2882    0.0910    0.0043
    0.2882    0.2822    0.0055
    0.2882    0.1701    0.0043
    0.2882    0.0464    0.0035
    0.2882    0.0338    0.0040
    0.2882    0.0243    0.0042
    0.2882   -0.0726    0.0044
    0.2882   -0.0440    0.0044
    0.2882   -0.0689    0.0035
    0.2882   -0.0295    0.0036
    0.2882   -0.0016    0.0028
    0.2882   -0.0016    0.0028
    0.2882   -0.0016    0.0028
    0.2882   -0.0227    0.0024
    0.2882    0.0638    0.0025
    0.2882    0.0379    0.0030
    0.2882    0.0083    0.0021
    0.2882   -0.1151    0.0023
    0.2882   -0.1151    0.0023
    0.2882   -0.1151    0.0023
    0.2882   -0.0818    0.0018
    0.2882   -0.1529    0.0015
    0.2018   -0.1720    0.0014
    0.2018   -0.1816    0.0016
    0.2018   -0.2349    0.0014
    0.2018   -0.2579    0.0018
    0.2018   -0.2202    0.0024
