           1    -3.49812    -3.49812           0
           2    -3.50014    -3.49913 0.000711785
           3    -3.49935     -3.4992 0.000478167
           4    -3.49931    -3.49923 0.000359406
           5    -3.49972    -3.49933 0.000300608
           6    -3.49877    -3.49923 0.000264603
           7    -3.49776    -3.49902 0.000299262
           8    -3.49859    -3.49897 0.000266692
           9    -3.49826    -3.49889 0.000248528
          10    -3.49742    -3.49874 0.000263365
          11    -3.49907    -3.49877 0.000241101
          12    -3.49934    -3.49882 0.000225657
          13    -3.50071    -3.49897 0.000250646
          14    -3.49862    -3.49894 0.000233922
          15    -3.49895    -3.49894 0.000218328
          16    -3.49894    -3.49894 0.000204683
          17    -3.49848    -3.49891 0.000194427
          18    -3.49939    -3.49894 0.000185429
          19    -3.50012      -3.499 0.000185716
          20    -3.49845    -3.49898 0.000178442
